incident_state	date	transportation	serious_incident	latitude	longitude
IL	1988-04-05	H	0	40.6128161	-89.4592609
PA	1988-04-11	R	0	41.0036719	-80.347009
WI	1988-04-11	H	0	42.8858503	-87.8631362
CT	1988-04-14	R	0	41.308274	-72.9278835
IA	1988-04-15	H	0	41.5236437	-90.5776367
MA	1988-04-19	H	0	42.5481714	-71.1724467
MS	1988-04-29	H	0	32.2745912	-90.1320311
SC	1988-05-02	H	0	34.8526176	-82.3940104
IL	1988-05-10	H	0	41.7014217	-87.7792196
PA	1988-05-12	H	0	39.9525839	-75.1652215
IA	1988-06-01	H	0	41.9778795	-91.6656232
OH	1988-06-02	R	1	39.1031182	-84.5120196
AZ	1988-06-08	H	0	33.4483771	-112.0740373
MT	1988-06-09	H	0	45.466729	-111.8865015
NY	1988-06-14	H	0	42.1186695	-79.1983799
MI	1988-06-21	H	0	42.2917069	-85.5872286
IL	1988-06-23	H	0	40.124481	-87.6300207
TX	1988-06-26	R	0	30.3490976	-94.1779624
TX	1988-06-27	H	0	32.7766642	-96.7969879
KY	1988-06-27	H	0	38.0405837	-84.5037164
TX	1988-06-28	H	0	32.7766642	-96.7969879
IL	1988-07-05	H	0	41.931696	-87.9889556
IL	1988-07-05	H	0	41.931696	-87.9889556
OH	1988-07-13	H	0	41.5628294	-83.6538244
IL	1988-07-14	H	0	41.931696	-87.9889556
IN	1988-07-14	H	0	39.768403	-86.158068
OH	1988-08-04	R	1	40.6575593	-82.3115502
MI	1988-08-05	H	1	42.331427	-83.0457538
PA	1988-08-08	R	0	40.2731911	-76.8867008
CO	1988-08-09	H	0	39.8083196	-104.9338675
NY	1988-08-11	H	0	42.9026136	-78.744572
NC	1988-08-15	H	0	35.2270869	-80.8431267
NC	1988-08-17	H	0	34.7740494	-79.4628248
OH	1988-08-17	H	0	39.9611755	-82.9987942
CO	1988-08-21	H	0	39.7392358	-104.990251
MI	1988-09-01	H	0	43.0125274	-83.6874562
TN	1988-09-02	H	0	36.1626638	-86.7816016
NY	1988-09-12	H	0	41.4767605	-74.0237518
MI	1988-09-21	H	0	43.2508585	-83.7941309
MN	1988-09-22	H	0	44.977753	-93.2650108
MD	1988-10-06	H	0	39.0348317	-76.9074739
PA	1988-10-22	R	0	39.9525839	-75.1652215
TN	1988-10-25	R	0	35.9606384	-83.9207392
MA	1988-10-27	H	0	42.4792618	-71.1522765
TX	1988-10-31	H	0	32.7766642	-96.7969879
IL	1988-11-02	H	0	41.7641723	-87.7812524
NY	1988-11-09	H	0	41.4839827	-74.2176487
TX	1988-11-09	H	0	29.3708857	-100.8958674
IL	1988-11-11	H	0	41.7641723	-87.7812524
IL	1988-11-21	H	0	41.7641723	-87.7812524
PA	1988-11-23	H	0	39.9625984	-76.727745
IL	1988-12-09	H	0	41.7641723	-87.7812524
CT	1988-12-12	R	0	41.7637111	-72.6850932
WI	1988-12-13	H	0	43.0730517	-89.4012302
NY	1988-12-14	H	0	43.0481221	-76.1474244
WI	1988-12-21	H	0	42.8858503	-87.8631362
IL	1988-12-22	H	0	41.7641723	-87.7812524
TX	1989-01-03	H	0	29.4241219	-98.4936282
VA	1989-01-04	R	0	38.3031837	-77.4605399
PA	1989-01-09	H	0	39.9625984	-76.727745
FL	1989-01-10	H	0	26.1224386	-80.1373174
IL	1989-01-12	H	0	41.7641723	-87.7812524
IL	1989-01-13	H	0	41.7641723	-87.7812524
OH	1989-01-23	H	0	39.9611755	-82.9987942
CA	1989-01-30	H	0	37.9577016	-121.2907796
MO	1989-02-01	H	0	38.6270025	-90.1994042
PA	1989-02-09	H	0	39.9625984	-76.727745
CT	1989-02-09	H	0	41.8489872	-72.5717551
WI	1989-02-10	H	0	42.8858503	-87.8631362
